city,country,admin_name,capital,population,id
Bend,United States,Oregon,,109802.0,1840018618
Bronxville,United States,New York,,6408.0,1840004949
Hingham,United States,Massachusetts,,23652.0,1840053569
Swampscott,United States,Massachusetts,,15002.0,1840053540
Escalon,United States,California,,7601.0,1840020262
Bloomsburg,United States,Pennsylvania,,49840.0,1840000811
Medan,Indonesia,Sumatera Utara,admin,2210625.0,1360543171
Richland,United States,Washington,,58225.0,1840019889
Kumamoto,Japan,Kumamoto,admin,738567.0,1392106283
Singapore,Singapore,Central Singapore,primary,5745000.0,1702341327
La Verne,United States,California,,31974.0,1840020514
Portsmouth,United Kingdom,Portsmouth,,855679.0,1826964096
Arnhem,Netherlands,Gelderland,admin,148070.0,1528862562
Wandsworth,United Kingdom,Wandsworth,,61594.0,1826844924
Wheaton,United States,Maryland,,50229.0,1840031295
Carrollton,United States,Texas,,139248.0,1840019436
Crossville,United States,Tennessee,,17825.0,1840014489
Chapel Hill,United States,North Carolina,,64051.0,1840016152
Woodbury,United States,Minnesota,,72828.0,1840009998
Jessup,United States,Maryland,,9509.0,1840005919
Marina,United States,California,,22781.0,1840020357
Burnsville,United States,Minnesota,,61339.0,1840006766
Snoqualmie,United States,Washington,,26289.0,1840021119
Pinellas Park,United States,Florida,,53637.0,1840015112
Inazawa,Japan,Aichi,,134938.0,1392019493
Canterbury,United Kingdom,Kent,,55240.0,1826094061
Stillwater,United States,Oklahoma,,50299.0,1840021675
Melville,United States,New York,,17716.0,1840005044
Kakamigahara,Japan,Gifu,,143641.0,1392578597
Pembroke,United Kingdom,Pembrokeshire,,7552.0,1826380894
Woodmere,United States,New York,,17470.0,1840005284
Guatemala City,Guatemala,Guatemala,primary,2450212.0,1320197916
Slough,United Kingdom,Slough,,164455.0,1826807636
Mayfield Heights,United States,Ohio,,18487.0,1840000613
Clemmons,United States,North Carolina,,20867.0,1840017728
Colton,United States,California,,54824.0,1840019120
Los Gatos,United States,California,,30222.0,1840021575
